禁煙	きんえん	no smoke	
吸えません	すえません	cant smoke	
喫茶店	きっさてん	cafe	
甘い	あまい	sweet	
汗	あせ	sweat	
濃厚	のうこう	strong flavor	
辛い	つらい	painful	
酸っぱい	すっぱい	sour	
５杯	ごはい	5 cups	
靴	くつ	shoes	
衣装	いしょう	costume	
毛布	もうふ	blanket	
洗う	あらう	to wash	
綿	めん	cotton	
干す	ほす	to dry	
乾燥	かんそう	dry	
清掃	せいそう	cleaning	
卵	たまご	egg	
菜の花	なのはな	a flower	
お菓子	おかし	!!!	
抜けた	ぬけた	to fall out	
祖父母	そふぼ	grandparents	
孫	まご	grandchild	
娘	むすめ	daughter	
仲	なか	relation	
改良	かいりょう	reform	
封筒	ふうとう	envelop	
郵送	ゆうそう	mailing	
新婚	しんこん	newly mariied	
国籍	こくせき	nacionality	
夫婦	ふうふ	husabnd and wife	
妻	つま	wife	
離れて	はなれて	grow apart	
学んだ	まなんだ	learnt	
徒歩	とほ	going on foot	
欠かさず	かかさず	without fail	
早退	そうたい	leaving early	
枝	えだ	branch	
伸びた	のびた	grow	
咲く	さく	to blossom	
散らかって	ちらかって	to be in disorder	
枯れて	かれて	o wither (of a plant)	
御礼	おれい	thanks	
服装	ふくそう	attire	
空腹	くうふく	hunger	
脂っこい	あぶらっこい	oily	
肥満	ひまん	obesity	
脱いで	ぬいで	undress	
裸	はだか	naked	
不満	ふまん	insatisfaction 	
肩書き	かたがき	job title; position	
背景	はいけい	background; scenery;	
胃	い	stomach	
心臓	しんぞう	heart	
頭脳	ずのう	brain	
何歳	なんさい	how old	
胸	むね	breast 	
果物	くだもの	fruit	
内容	ないよう	content	
検査	けんさ	inspection	
骨折	こっせつ	broken bone	
居間	いま	living room	
窓	まど	window	
口座	こうさ	bank account	
寝室	しんしつ	sleeping room	
六畳	ろくじょう	6 tatamis	
床	ゆか	floor	
掃く	はく	to sweep	
掛ける	ぬける	to hang up	
掃除	そうじ	cleaning	
除き	のぞき	excluding	
寮	りょう	dormitory	
自宅	じたく	ones house	
駐車	ちゅうしゃ	parking	
裏	うら	opposite side	
揚げ物	あげもの	deep-fried food​	
蒸し暑い	むしあつい	humid	
混雑	こんざつ	croweded, complicated	
巻く	まく	to wind; to coil; to roll; to wear	
隅	すみ	coner	
山奥	やまおく	top of the montain	
一軒家	いっけんや	house	
幅	はば	width; breadth	
底	そこ	bottom	
周囲	しゅうい	surroundings	
条件	じょうけん	condition	
探した	さがした	to look for	
積もる	つもる	to pile up	
面接	めんせつ	interview	
採用	さいよう	acceptance	
募集	ぼしゅう	recruitment;	
応募	おうぼ	apply	
就職	しゅうしょく	finding employment; getting a job	
通勤	つうきん	commuting to work	
経営	けいえい	management	
能力	のうりょく	hability	
給料	きゅうりょう	salary	
昨年	さくねん	last year	
訪れた	おとずれた	to visit	
伺いたい	うかがいたい	ask	
紹介	しょうかい	introduce	
期末	きまつ	end of term	
程度	ていど	degree, level	
再会	さいかい	another meeting	
上昇	じょうしょう	rising	
歓迎会	かんげいかい	welcome party	
翌朝	よくあさ	next morning	
職業	しょくぎょう	job type	
販売員	はんばいいん	sales person	
契約	けいやく	contract	
泥棒	どろぼう	thief; burglar; robber	
盗まれた	ぬすまれた	was stolen	
殺人	さつじん	murderer	
裁判	さいばん	trial	
刺身	さしみ	sashimi	
広告	こうこく	advertisement; advertising	
根拠	こんきょ	basis/evidence	
妨害	ぼうがい	disturbance; obstruction	
法律	こうりつ	law	
街灯	がいとう	street light	
指輪	ゆびわ	ring	
移住	いじゅう	move	
楽器	がっき	musical instrument	
一緒	いっしょ	together	
切符	きっぷ	ticket	
歌詞	かし	lyrics	
伴う	ともなう	to accompany	
技術	ぎじゅつ	hability	
銅	どう	bronze	
雄	おす	male (animal, plant)​	
英雄	えいゆう	hero	
器	うつわ	bowl; vessel; container	
雌 	めす	female (animal, plant)	
平均	へいきん	mean, media	
家賃	やちん	rent	
収入	しゅうにゅう	income	
貿易	ぼうえき	international trade	
輸出	ゆしゅつ	export	
段落	だんらく	paragraph	
処分	しょぶん	disposal	
値下がり	ねさがり	price down	
経験	けいけん	experience	
近況	きんきょう	present state/condition	
利益	りえき	profit	
損	そん	loss	
済ませて	すませて	finish	
性格	せいかく	personality	
割引	わりびき	discount	
額	ひたい	forehead	
通貨	つうか	currency	
差別	さべつ	discrimination	
学費	がくひ	school fee	
取得	しゅとく	acquisition; obtaining	
増加	ぞうか	increase	
減少	げんしょう	decrease	
展覧会	てんらんかい	exhibition	
言い争って	いいあらそって	to dispute	
挑戦	ちょうせん	challenge	
武力	ぶりょく	military power	
政治	せいじ	government	
素敵	すてき	lovely	
論文	ろんぶん	thesis	
税金	ぜいきん	tax	
納め	おさめ	the end (of)	
許さない	ゆるさない	unforgiveble 	
迫力	はくりょく	impact; force; intensity;	
競争	きょうそう	competition, race	
競走	きょうそう	race	
国際	こくさい	international	
兵役	へいえき	military service; conscription	
評論	ひょうろん	evaluation,fame	
講演	こうえん	lecture; address; speech	
依然	いぜん	still; as yet; as it has been​	
区役所	くやくしょ	city ward	
登録	とうろく	subscribe	
民族	みんぞく	race	
軍隊	ぐんたい	armed forces	
制限	せいげん	restriction	
適当	てきとう	suitable; proper; appropriate;	
両替する	りょうがえする	to change	日本円をアメリカドルに両替にしてください
召し上がる	めしあがる	to eat	どうぞ、ケーキを召し上がってください
包む	つつむ	to wrap	プレセントを包んだ。
欠席する	けっせきする	to be absent	今日友達は欠席でした。
遅れる	おくれる	to be late	電車は１０分遅れてる。
効果	こうか	effect	この薬は効果が全然ない。
寝る	ねる	to sleep	昨日全然寝ませんでした
若い	わかい	young	父は若い時にバスケットボールをやっていました。
押す	おす	To press	このボタンを押すと、ドアが開けます
汚い	きたない	dirty	私の靴下はいつも汚いです。
断る	ことわる	to refuse	彼女は私と行くのを断った。
昨夜	ゆうべ	evening	昨夜はゲームをしました
直接	ちょくせつ	directly	彼女に直接言ったほうがいい。
寄る	よる	to approach, to pass	学校に行く前にコンビニに寄ります。
贈る	おくる	to send	プレセントを贈った。
逆らう	さからう	to go against	彼女に逆らうな。
易しい	やさしい	easy	易しい日本語しかわかりません。
支払う	しはらう	to pay	明日までに支払わなければならない。
増やす	ふやす	to inscrease	勉強時間を増やしたいです。
限る	かぎる	to restrict; to limit; to confine	ブラジル人はみんなサッカーが好きとは限らない。
更に	さらに	even more	熱は一時間後さらに高くなりました。
協力する	きょうりょくする	to cooperate	協力してください。
雇う	やとう	to employ	新しい人を雇った。
